model_id,oven_name,mapping_note
fass_vorraum,Saunaofen Aries 9kW incl. HUUM UKU Local Steuerung und 60kg Steinen,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
fass_vorraum,Saunaofen CORE Black 9kW ohne Steuerung,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
fass_vorraum,Saunaofen Spirit 9kW incl. Touch WiFi Steuerung und 60kg Saunasteine,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
fass_vorraum,"FinTec Holzbefeuerter Saunaofen ""TROLL"" 7,8kW incl. Abgasanlage",Auf Produktseite als 'Öfen zur Auswahl' gelistet.
fass_vorraum,"Sauna Ofen Senator 10,5kW",Auf Produktseite als 'Öfen zur Auswahl' gelistet.
fass_vorraum,"Saunaofen Linear 18 Compact 14,3kW holzbefeuert",Auf Produktseite als 'Öfen zur Auswahl' gelistet.
xl,Narvi SAANA 9kW Säulenofen schwarz incl. Steuerung,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
xl,Bio-Saunaofen KASIA incl. Slimline Steuerung,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
xl,Sauna Ofen Moderna V80XE schwarz,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
xl,Elektrischer Saunaofen DROP 9kW ohne Steuerung,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
xl,Elektronische Saunaofensteuerung HUUM UKU 4.1 Local (ohne Bedienteil),Auf Produktseite als 'Öfen zur Auswahl' gelistet.
xl,Elektronische Saunaofensteuerung HUUM UKU 4.1 Local Bedienteil Glass,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
xl,Saunaofen Aries 9kW incl. HUUM UKU Local Steuerung und 60kg Steinen,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
xl,Saunaofen CORE Black 9kW ohne Steuerung,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
xl,Saunaofen Spirit 9kW incl. Touch WiFi Steuerung und 60kg Saunasteine,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
xl,"FinTec Holzbefeuerter Saunaofen ""TROLL"" 7,8kW incl. Abgasanlage",Auf Produktseite als 'Öfen zur Auswahl' gelistet.
xl,"Sauna Ofen Senator 10,5kW",Auf Produktseite als 'Öfen zur Auswahl' gelistet.
xl,"Saunaofen Linear 18 Compact 14,3kW holzbefeuert",Auf Produktseite als 'Öfen zur Auswahl' gelistet.
xl_vorraum,Narvi SAANA 9kW Säulenofen schwarz incl. Steuerung,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
xl_vorraum,Bio-Saunaofen KASIA incl. Slimline Steuerung,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
xl_vorraum,Sauna Ofen Moderna V80XE schwarz,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
xl_vorraum,Elektrischer Saunaofen DROP 9kW ohne Steuerung,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
xl_vorraum,Elektronische Saunaofensteuerung HUUM UKU 4.1 Local (ohne Bedienteil),Auf Produktseite als 'Öfen zur Auswahl' gelistet.
xl_vorraum,Elektronische Saunaofensteuerung HUUM UKU 4.1 Local Bedienteil Glass,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
xl_vorraum,Saunaofen Aries 9kW incl. HUUM UKU Local Steuerung und 60kg Steinen,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
xl_vorraum,Saunaofen CORE Black 9kW ohne Steuerung,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
xl_vorraum,Saunaofen Spirit 9kW incl. Touch WiFi Steuerung und 60kg Saunasteine,Auf Produktseite als 'Öfen zur Auswahl' gelistet.
xl_vorraum,"FinTec Holzbefeuerter Saunaofen ""TROLL"" 7,8kW incl. Abgasanlage",Auf Produktseite als 'Öfen zur Auswahl' gelistet.
xl_vorraum,"Sauna Ofen Senator 10,5kW",Auf Produktseite als 'Öfen zur Auswahl' gelistet.
xl_vorraum,"Saunaofen Linear 18 Compact 14,3kW holzbefeuert",Auf Produktseite als 'Öfen zur Auswahl' gelistet.
premium,(unspezifiziert) Saunaofen 9KW + Steine + Steuerung,"Seite nennt 9KW Ofen, Steine, Steuerung – kein Modellname."
suuri,(konfigurierbar) holz- oder elektrischer Ofen,Seite erwähnt konfigurierbar; kein konkretes Ofenmodell in Liste.
